breakdown_id,machine_id,start_time,duration_hours,cause
BD_001,CNC_LATHE_01,2026-09-02T02:00:00,2,tool_failure
BD_002,CNC_LATHE_01,2026-09-07T09:00:00,5,electrical_fault
BD_003,CNC_LATHE_01,2026-09-12T16:00:00,8,hydraulic_leak
BD_004,CNC_LATHE_02,2026-09-05T02:00:00,3,electrical_fault
BD_005,CNC_VMC_01,2026-09-08T02:00:00,4,hydraulic_leak
BD_006,CNC_VMC_02,2026-09-11T02:00:00,5,spindle_vibration
BD_007,CNC_VMC_02,2026-09-04T09:00:00,8,coolant_failure
BD_008,CNC_VMC_03,2026-09-02T02:00:00,6,coolant_failure
BD_009,CNC_HMC_01,2026-09-05T02:00:00,7,tool_failure
BD_010,GRINDER_01,2026-09-08T02:00:00,8,electrical_fault
BD_011,GRINDER_01,2026-09-13T09:00:00,11,hydraulic_leak
BD_012,CONV_LATHE_01,2026-09-11T02:00:00,9,hydraulic_leak
BD_013,CONV_LATHE_01,2026-09-04T09:00:00,12,spindle_vibration
BD_014,CONV_LATHE_02,2026-09-02T02:00:00,10,spindle_vibration
BD_015,RADIAL_DRILL_01,2026-09-05T02:00:00,11,coolant_failure
BD_016,RADIAL_DRILL_01,2026-09-10T09:00:00,3,tool_failure
BD_017,RADIAL_DRILL_02,2026-09-08T02:00:00,12,tool_failure
BD_018,MILLING_CONV_01,2026-09-11T02:00:00,2,electrical_fault
BD_019,MILLING_CONV_02,2026-09-02T02:00:00,3,hydraulic_leak
BD_020,MILLING_CONV_02,2026-09-07T09:00:00,6,spindle_vibration
BD_021,CMM_01,2026-09-05T02:00:00,4,spindle_vibration
