from_family,to_family,category,changeover_time_min,test_piece_cost_inr
SHAFT,SHAFT,MINOR,29,0
SHAFT,HOUSING,MAJOR,119,300
SHAFT,FLANGE,MAJOR,114,300
SHAFT,BUSH,MAJOR,104,300
SHAFT,BRACKET,MAJOR,103,300
SHAFT,GEAR,MAJOR,78,300
HOUSING,SHAFT,MAJOR,99,300
HOUSING,HOUSING,MINOR,27,0
HOUSING,FLANGE,MAJOR,117,300
HOUSING,BUSH,MAJOR,110,300
HOUSING,BRACKET,MAJOR,83,300
HOUSING,GEAR,MAJOR,110,300
FLANGE,SHAFT,MAJOR,119,300
FLANGE,HOUSING,MAJOR,140,300
FLANGE,FLANGE,MINOR,27,0
FLANGE,BUSH,MAJOR,143,300
FLANGE,BRACKET,MAJOR,117,300
FLANGE,GEAR,MAJOR,78,300
BUSH,SHAFT,MAJOR,89,300
BUSH,HOUSING,MAJOR,108,300
BUSH,FLANGE,MAJOR,97,300
BUSH,BUSH,MINOR,23,0
BUSH,BRACKET,MEDIUM,36,150
BUSH,GEAR,MAJOR,88,300
BRACKET,SHAFT,MAJOR,130,300
BRACKET,HOUSING,MAJOR,119,300
BRACKET,FLANGE,MAJOR,115,300
BRACKET,BUSH,MEDIUM,48,150
BRACKET,BRACKET,MINOR,18,0
BRACKET,GEAR,MAJOR,124,300
GEAR,SHAFT,MAJOR,148,300
GEAR,HOUSING,MAJOR,99,300
GEAR,FLANGE,MAJOR,107,300
GEAR,BUSH,MAJOR,80,300
GEAR,BRACKET,MAJOR,130,300
GEAR,GEAR,MINOR,15,0
