maintenance_id,machine_id,start_time,end_time,duration_hours
MNT_001,CNC_LATHE_01,2026-09-12T07:00:00,2026-09-12T11:00:00,4.0
MNT_002,CNC_LATHE_02,2026-09-13T10:00:00,2026-09-13T15:00:00,5.0
MNT_003,CNC_VMC_01,2026-09-05T08:00:00,2026-09-05T12:00:00,4.0
MNT_004,CNC_VMC_02,2026-09-12T17:00:00,2026-09-13T01:00:00,8.0
MNT_005,CNC_VMC_03,2026-09-03T15:00:00,2026-09-03T22:00:00,7.0
MNT_006,CNC_HMC_01,2026-09-02T06:00:00,2026-09-02T10:00:00,4.0
MNT_007,GRINDER_01,2026-09-05T09:00:00,2026-09-05T17:00:00,8.0
MNT_008,CONV_LATHE_01,2026-09-11T06:00:00,2026-09-11T14:00:00,8.0
MNT_009,CONV_LATHE_02,2026-09-05T17:00:00,2026-09-06T01:00:00,8.0
MNT_010,RADIAL_DRILL_01,2026-09-08T09:00:00,2026-09-08T16:00:00,7.0
MNT_011,RADIAL_DRILL_02,2026-09-11T10:00:00,2026-09-11T14:00:00,4.0
MNT_012,MILLING_CONV_01,2026-09-04T17:00:00,2026-09-05T00:00:00,7.0
MNT_013,MILLING_CONV_02,2026-09-07T10:00:00,2026-09-07T15:00:00,5.0
MNT_014,CMM_01,2026-09-05T18:00:00,2026-09-06T00:00:00,6.0
