material_id,order_id,material_type,available_date
MAT_001,ORD_001,MILD_STEEL,2026-09-01
MAT_002,ORD_002,EN8,2026-09-04
MAT_003,ORD_003,EN24,2026-09-03
MAT_004,ORD_004,EN31,2026-09-05
MAT_005,ORD_005,STAINLESS_STEEL_304,2026-09-03
MAT_006,ORD_006,ALUMINIUM_6061,2026-09-02
MAT_007,ORD_007,CAST_IRON,2026-09-04
MAT_008,ORD_008,MILD_STEEL,2026-09-04
MAT_009,ORD_009,EN8,2026-09-02
MAT_010,ORD_010,EN24,2026-09-02
MAT_011,ORD_011,EN31,2026-09-03
MAT_012,ORD_012,STAINLESS_STEEL_304,2026-09-04
MAT_013,ORD_013,ALUMINIUM_6061,2026-09-01
MAT_014,ORD_014,CAST_IRON,2026-09-04
MAT_015,ORD_015,MILD_STEEL,2026-09-03
MAT_016,ORD_016,EN8,2026-09-04
MAT_017,ORD_017,EN24,2026-09-03
MAT_018,ORD_018,EN31,2026-09-02
MAT_019,ORD_019,STAINLESS_STEEL_304,2026-09-05
MAT_020,ORD_020,ALUMINIUM_6061,2026-09-06
MAT_021,ORD_021,CAST_IRON,2026-09-03
MAT_022,ORD_022,MILD_STEEL,2026-09-02
MAT_023,ORD_023,EN8,2026-09-05
MAT_024,ORD_024,EN24,2026-09-05
MAT_025,ORD_025,EN31,2026-09-01
