operator_id,machine_type,skill_level
OP_001,CNC_HMC,MASTER
OP_001,CNC_LATHE,MASTER
OP_001,CONV_LATHE,MASTER
OP_001,GRINDER,MASTER
OP_001,RADIAL_DRILL,MASTER
OP_002,CMM_INSPECTION,JUNIOR
OP_002,CNC_LATHE,JUNIOR
OP_003,CNC_HMC,SENIOR
OP_003,CNC_VMC,SENIOR
OP_003,CONV_LATHE,SENIOR
OP_003,MILLING_CONV,SENIOR
OP_003,RADIAL_DRILL,SENIOR
OP_004,CMM_INSPECTION,SENIOR
OP_004,CNC_VMC,SENIOR
OP_004,MILLING_CONV,SENIOR
OP_005,CNC_HMC,SENIOR
OP_005,CNC_LATHE,SENIOR
OP_006,CNC_HMC,SENIOR
OP_006,CNC_LATHE,SENIOR
OP_006,CNC_VMC,SENIOR
OP_006,RADIAL_DRILL,SENIOR
OP_007,CNC_VMC,JUNIOR
OP_007,MILLING_CONV,JUNIOR
OP_007,RADIAL_DRILL,JUNIOR
OP_008,GRINDER,MASTER
OP_008,RADIAL_DRILL,MASTER
OP_009,CMM_INSPECTION,JUNIOR
OP_009,CNC_LATHE,JUNIOR
OP_009,CONV_LATHE,JUNIOR
OP_010,CMM_INSPECTION,JUNIOR
OP_010,CNC_HMC,JUNIOR
OP_010,CNC_VMC,JUNIOR
OP_010,CONV_LATHE,JUNIOR
OP_010,MILLING_CONV,JUNIOR
OP_011,CNC_LATHE,SENIOR
OP_011,RADIAL_DRILL,SENIOR
OP_012,GRINDER,MASTER
OP_012,RADIAL_DRILL,MASTER
OP_013,MILLING_CONV,JUNIOR
OP_013,RADIAL_DRILL,JUNIOR
OP_014,CMM_INSPECTION,SENIOR
OP_014,CNC_LATHE,SENIOR
OP_014,CONV_LATHE,SENIOR
OP_014,MILLING_CONV,SENIOR
OP_014,RADIAL_DRILL,SENIOR
OP_015,CMM_INSPECTION,MASTER
OP_015,CONV_LATHE,MASTER
OP_016,CMM_INSPECTION,MASTER
OP_016,CNC_VMC,MASTER
OP_016,RADIAL_DRILL,MASTER
OP_017,CNC_HMC,MASTER
OP_017,CNC_LATHE,MASTER
OP_017,CONV_LATHE,MASTER
OP_018,CNC_HMC,SENIOR
OP_018,CNC_LATHE,SENIOR
OP_018,CONV_LATHE,SENIOR
OP_018,RADIAL_DRILL,SENIOR
OP_019,CMM_INSPECTION,SENIOR
OP_019,CNC_HMC,SENIOR
OP_019,CONV_LATHE,SENIOR
OP_019,MILLING_CONV,SENIOR
OP_020,CNC_HMC,SENIOR
OP_020,CNC_LATHE,SENIOR
OP_021,CMM_INSPECTION,JUNIOR
OP_022,CMM_INSPECTION,MASTER
OP_022,CNC_LATHE,MASTER
