shift_id,date,shift_type,start_time,end_time,available_hours,is_regular_capacity,premium_multiplier
SH_01_MORNING,2026-09-01,MORNING,2026-09-01T06:00:00,2026-09-01T14:00:00,7.5,true,1.0
SH_01_AFTERNOON,2026-09-01,AFTERNOON,2026-09-01T14:00:00,2026-09-01T22:00:00,7.5,true,1.0
SH_01_NIGHT,2026-09-01,NIGHT,2026-09-01T22:00:00,2026-09-02T06:00:00,7.0,false,1.5
SH_02_MORNING,2026-09-02,MORNING,2026-09-02T06:00:00,2026-09-02T14:00:00,7.5,true,1.0
SH_02_AFTERNOON,2026-09-02,AFTERNOON,2026-09-02T14:00:00,2026-09-02T22:00:00,7.5,true,1.0
SH_02_NIGHT,2026-09-02,NIGHT,2026-09-02T22:00:00,2026-09-03T06:00:00,7.0,false,1.5
SH_03_MORNING,2026-09-03,MORNING,2026-09-03T06:00:00,2026-09-03T14:00:00,7.5,true,1.0
SH_03_AFTERNOON,2026-09-03,AFTERNOON,2026-09-03T14:00:00,2026-09-03T22:00:00,7.5,true,1.0
SH_03_NIGHT,2026-09-03,NIGHT,2026-09-03T22:00:00,2026-09-04T06:00:00,7.0,false,1.5
SH_04_MORNING,2026-09-04,MORNING,2026-09-04T06:00:00,2026-09-04T14:00:00,7.5,true,1.0
SH_04_AFTERNOON,2026-09-04,AFTERNOON,2026-09-04T14:00:00,2026-09-04T22:00:00,7.5,true,1.0
SH_04_NIGHT,2026-09-04,NIGHT,2026-09-04T22:00:00,2026-09-05T06:00:00,7.0,false,1.5
SH_05_MORNING,2026-09-05,MORNING,2026-09-05T06:00:00,2026-09-05T14:00:00,7.5,true,1.0
SH_05_AFTERNOON,2026-09-05,AFTERNOON,2026-09-05T14:00:00,2026-09-05T22:00:00,7.5,true,1.0
SH_05_NIGHT,2026-09-05,NIGHT,2026-09-05T22:00:00,2026-09-06T06:00:00,7.0,false,1.5
SH_06_MORNING,2026-09-06,MORNING,2026-09-06T06:00:00,2026-09-06T14:00:00,7.5,true,1.0
SH_06_AFTERNOON,2026-09-06,AFTERNOON,2026-09-06T14:00:00,2026-09-06T22:00:00,7.5,true,1.0
SH_06_NIGHT,2026-09-06,NIGHT,2026-09-06T22:00:00,2026-09-07T06:00:00,7.0,false,1.5
SH_07_MORNING,2026-09-07,MORNING,2026-09-07T06:00:00,2026-09-07T14:00:00,7.5,true,1.0
SH_07_AFTERNOON,2026-09-07,AFTERNOON,2026-09-07T14:00:00,2026-09-07T22:00:00,7.5,true,1.0
SH_07_NIGHT,2026-09-07,NIGHT,2026-09-07T22:00:00,2026-09-08T06:00:00,7.0,false,1.5
SH_08_MORNING,2026-09-08,MORNING,2026-09-08T06:00:00,2026-09-08T14:00:00,7.5,true,1.0
SH_08_AFTERNOON,2026-09-08,AFTERNOON,2026-09-08T14:00:00,2026-09-08T22:00:00,7.5,true,1.0
SH_08_NIGHT,2026-09-08,NIGHT,2026-09-08T22:00:00,2026-09-09T06:00:00,7.0,false,1.5
SH_09_MORNING,2026-09-09,MORNING,2026-09-09T06:00:00,2026-09-09T14:00:00,7.5,true,1.0
SH_09_AFTERNOON,2026-09-09,AFTERNOON,2026-09-09T14:00:00,2026-09-09T22:00:00,7.5,true,1.0
SH_09_NIGHT,2026-09-09,NIGHT,2026-09-09T22:00:00,2026-09-10T06:00:00,7.0,false,1.5
SH_10_MORNING,2026-09-10,MORNING,2026-09-10T06:00:00,2026-09-10T14:00:00,7.5,true,1.0
SH_10_AFTERNOON,2026-09-10,AFTERNOON,2026-09-10T14:00:00,2026-09-10T22:00:00,7.5,true,1.0
SH_10_NIGHT,2026-09-10,NIGHT,2026-09-10T22:00:00,2026-09-11T06:00:00,7.0,false,1.5
SH_11_MORNING,2026-09-11,MORNING,2026-09-11T06:00:00,2026-09-11T14:00:00,7.5,true,1.0
SH_11_AFTERNOON,2026-09-11,AFTERNOON,2026-09-11T14:00:00,2026-09-11T22:00:00,7.5,true,1.0
SH_11_NIGHT,2026-09-11,NIGHT,2026-09-11T22:00:00,2026-09-12T06:00:00,7.0,false,1.5
SH_12_MORNING,2026-09-12,MORNING,2026-09-12T06:00:00,2026-09-12T14:00:00,7.5,true,1.0
SH_12_AFTERNOON,2026-09-12,AFTERNOON,2026-09-12T14:00:00,2026-09-12T22:00:00,7.5,true,1.0
SH_12_NIGHT,2026-09-12,NIGHT,2026-09-12T22:00:00,2026-09-13T06:00:00,7.0,false,1.5
SH_13_MORNING,2026-09-13,MORNING,2026-09-13T06:00:00,2026-09-13T14:00:00,7.5,true,1.0
SH_13_AFTERNOON,2026-09-13,AFTERNOON,2026-09-13T14:00:00,2026-09-13T22:00:00,7.5,true,1.0
SH_13_NIGHT,2026-09-13,NIGHT,2026-09-13T22:00:00,2026-09-14T06:00:00,7.0,false,1.5
SH_14_MORNING,2026-09-14,MORNING,2026-09-14T06:00:00,2026-09-14T14:00:00,7.5,true,1.0
SH_14_AFTERNOON,2026-09-14,AFTERNOON,2026-09-14T14:00:00,2026-09-14T22:00:00,7.5,true,1.0
SH_14_NIGHT,2026-09-14,NIGHT,2026-09-14T22:00:00,2026-09-15T06:00:00,7.0,false,1.5
