order_id,customer_id,tier,due_date,promised_completion_date,late,late_days,penalty_cost
ORD_001,CUST_001,TIER_1,2026-09-11T12:00:00,2026-09-11T10:28:41.820000,False,0.0,0.0
ORD_002,CUST_002,TIER_2,2026-09-12T12:00:00,2026-09-11T13:56:05.961600,False,0.0,0.0
ORD_003,CUST_003,TIER_2,2026-09-11T06:00:00,2026-09-10T08:07:04.200000,False,0.0,0.0
ORD_004,CUST_004,TIER_2,2026-09-15T00:00:00,2026-09-10T15:42:59.400000,False,0.0,0.0
ORD_005,CUST_005,TIER_3,2026-09-16T12:00:00,2026-09-12T07:08:08.880000,False,0.0,0.0
ORD_006,CUST_006,TIER_3,2026-09-17T00:00:00,2026-09-12T07:55:14.580000,False,0.0,0.0
ORD_007,CUST_007,TIER_3,2026-09-12T00:00:00,2026-09-09T15:11:59.100000,False,0.0,0.0
ORD_008,CUST_001,TIER_1,2026-09-05T12:00:00,2026-09-05T10:09:40.740000,False,0.0,0.0
ORD_009,CUST_002,TIER_2,2026-09-09T00:00:00,2026-09-07T08:15:27.180000,False,0.0,0.0
ORD_010,CUST_003,TIER_2,2026-09-09T00:00:00,2026-09-07T09:13:33.420000,False,0.0,0.0
ORD_011,CUST_004,TIER_2,2026-09-11T00:00:00,2026-09-10T09:01:35.160000,False,0.0,0.0
ORD_012,CUST_005,TIER_3,2026-09-11T12:00:00,2026-09-09T06:56:37.620000,False,0.0,0.0
ORD_013,CUST_006,TIER_3,2026-09-11T00:00:00,2026-09-02T16:23:49.920000,False,0.0,0.0
ORD_014,CUST_007,TIER_3,2026-09-10T00:00:00,2026-09-08T08:06:09.480000,False,0.0,0.0
ORD_015,CUST_001,TIER_1,2026-09-08T00:00:00,2026-09-05T11:03:08.880000,False,0.0,0.0
ORD_016,CUST_002,TIER_2,2026-09-07T00:00:00,2026-09-12T16:08:36.960000,True,5.673,24321.69
ORD_017,CUST_003,TIER_2,2026-09-11T12:00:00,2026-09-11T07:53:30.240000,False,0.0,0.0
ORD_018,CUST_004,TIER_2,2026-09-07T12:00:00,2026-09-04T16:29:10.500000,False,0.0,0.0
ORD_019,CUST_005,TIER_3,2026-09-06T06:00:00,2026-09-06T08:49:16.500000,True,0.118,305.88
ORD_020,CUST_006,TIER_3,2026-09-05T12:00:00,2026-09-07T15:02:24,True,2.127,1816.4
ORD_021,CUST_007,TIER_3,2026-09-04T12:00:00,2026-09-04T08:52:51.360000,False,0.0,0.0
ORD_022,CUST_001,TIER_1,2026-09-06T12:00:00,2026-09-03T08:57:40.920000,False,0.0,0.0
ORD_023,CUST_002,TIER_2,2026-09-07T12:00:00,2026-09-06T15:33:55.440000,False,0.0,0.0
ORD_024,CUST_003,TIER_2,2026-09-05T12:00:00,2026-09-09T07:46:06.660000,True,3.824,5089.56
ORD_025,CUST_004,TIER_2,2026-09-06T06:00:00,2026-09-02T08:11:00.060000,False,0.0,0.0
