order_id,customer_id,tier,due_date,promised_completion_date,late,late_days,penalty_cost
ORD_001,CUST_001,TIER_3,2026-09-11T12:00:00,2026-09-11T08:35:11.580000,False,0.0,0.0
ORD_002,CUST_002,TIER_2,2026-09-12T12:00:00,2026-09-11T13:56:05.961600,False,0.0,0.0
ORD_003,CUST_003,TIER_2,2026-09-11T06:00:00,2026-09-10T08:07:04.200000,False,0.0,0.0
ORD_004,CUST_004,TIER_2,2026-09-15T00:00:00,2026-09-10T15:42:59.400000,False,0.0,0.0
ORD_005,CUST_005,TIER_1,2026-09-16T12:00:00,2026-09-12T07:08:08.880000,False,0.0,0.0
ORD_006,CUST_006,TIER_1,2026-09-17T00:00:00,2026-09-12T14:47:05.700000,False,0.0,0.0
ORD_007,CUST_007,TIER_1,2026-09-12T00:00:00,2026-09-09T15:11:59.100000,False,0.0,0.0
ORD_008,CUST_001,TIER_3,2026-09-05T12:00:00,2026-09-12T23:00:41.580000,True,7.459,6463.06
ORD_009,CUST_002,TIER_2,2026-09-09T00:00:00,2026-09-08T08:15:27.180000,False,0.0,0.0
ORD_010,CUST_003,TIER_2,2026-09-09T00:00:00,2026-09-06T14:58:06.240000,False,0.0,0.0
ORD_011,CUST_004,TIER_2,2026-09-11T00:00:00,2026-09-10T22:54:30.960000,False,0.0,0.0
ORD_012,CUST_005,TIER_1,2026-09-11T12:00:00,2026-09-09T06:56:37.620000,False,0.0,0.0
ORD_013,CUST_006,TIER_1,2026-09-11T00:00:00,2026-09-02T16:23:49.920000,False,0.0,0.0
ORD_014,CUST_007,TIER_1,2026-09-10T00:00:00,2026-09-07T16:06:09.480000,False,0.0,0.0
ORD_015,CUST_001,TIER_3,2026-09-08T00:00:00,2026-09-05T11:01:08.880000,False,0.0,0.0
ORD_016,CUST_002,TIER_2,2026-09-07T00:00:00,2026-09-09T09:05:14.580000,True,2.379,10198.51
ORD_017,CUST_003,TIER_2,2026-09-11T12:00:00,2026-09-10T10:00:34.440000,False,0.0,0.0
ORD_018,CUST_004,TIER_2,2026-09-07T12:00:00,2026-09-04T16:29:10.500000,False,0.0,0.0
ORD_019,CUST_005,TIER_1,2026-09-06T06:00:00,2026-09-06T08:49:16.500000,True,0.118,1223.53
ORD_020,CUST_006,TIER_1,2026-09-05T12:00:00,2026-09-12T08:10:32.880000,True,6.841,17082.17
ORD_021,CUST_007,TIER_1,2026-09-04T12:00:00,2026-09-04T08:54:51.360000,False,0.0,0.0
ORD_022,CUST_001,TIER_3,2026-09-06T12:00:00,2026-09-03T08:57:40.920000,False,0.0,0.0
ORD_023,CUST_002,TIER_2,2026-09-07T12:00:00,2026-09-07T07:33:55.440000,False,0.0,0.0
ORD_024,CUST_003,TIER_2,2026-09-05T12:00:00,2026-09-07T08:23:24.480000,True,1.85,2461.91
ORD_025,CUST_004,TIER_2,2026-09-06T06:00:00,2026-09-02T08:11:00.060000,False,0.0,0.0
