order_id,customer_id,tier,due_date,promised_completion_date,late,late_days,penalty_cost
ORD_001,CUST_001,TIER_1,2026-09-11T12:00:00,2026-09-02T00:35:11.580000,False,0.0,0.0
ORD_002,CUST_002,TIER_2,2026-09-12T12:00:00,2026-09-04T21:56:05.961600,False,0.0,0.0
ORD_003,CUST_003,TIER_2,2026-09-11T06:00:00,2026-09-10T00:07:04.200000,False,0.0,0.0
ORD_004,CUST_004,TIER_2,2026-09-15T00:00:00,2026-09-06T07:42:59.400000,False,0.0,0.0
ORD_005,CUST_005,TIER_3,2026-09-16T12:00:00,2026-09-03T23:08:08.880000,False,0.0,0.0
ORD_006,CUST_006,TIER_3,2026-09-17T00:00:00,2026-09-02T14:49:05.700000,False,0.0,0.0
ORD_007,CUST_007,TIER_3,2026-09-12T00:00:00,2026-09-05T07:11:59.100000,False,0.0,0.0
ORD_008,CUST_001,TIER_1,2026-09-05T12:00:00,2026-09-11T07:00:41.580000,True,5.792,17329.98
ORD_009,CUST_002,TIER_2,2026-09-09T00:00:00,2026-09-03T08:15:27.180000,False,0.0,0.0
ORD_010,CUST_003,TIER_2,2026-09-09T00:00:00,2026-09-02T22:58:06.240000,False,0.0,0.0
ORD_011,CUST_004,TIER_2,2026-09-11T00:00:00,2026-09-04T06:54:30.960000,False,0.0,0.0
ORD_012,CUST_005,TIER_3,2026-09-11T12:00:00,2026-09-07T06:56:37.620000,False,0.0,0.0
ORD_013,CUST_006,TIER_3,2026-09-11T00:00:00,2026-09-10T08:23:49.920000,False,0.0,0.0
ORD_014,CUST_007,TIER_3,2026-09-10T00:00:00,2026-09-06T16:06:09.480000,False,0.0,0.0
ORD_015,CUST_001,TIER_1,2026-09-08T00:00:00,2026-09-04T14:53:28.140000,False,0.0,0.0
ORD_016,CUST_002,TIER_2,2026-09-07T00:00:00,2026-09-07T00:08:36.960000,True,0.006,25.65
ORD_017,CUST_003,TIER_2,2026-09-11T12:00:00,2026-09-07T15:53:30.240000,False,0.0,0.0
ORD_018,CUST_004,TIER_2,2026-09-07T12:00:00,2026-09-11T00:29:10.500000,True,3.52,17074.09
ORD_019,CUST_005,TIER_3,2026-09-06T06:00:00,2026-09-09T08:49:16.500000,True,3.118,8112.18
ORD_020,CUST_006,TIER_3,2026-09-05T12:00:00,2026-09-08T23:02:24,True,3.46,2955.22
ORD_021,CUST_007,TIER_3,2026-09-04T12:00:00,2026-09-08T00:52:51.360000,True,3.537,13567.0
ORD_022,CUST_001,TIER_1,2026-09-06T12:00:00,2026-09-03T15:14:13.920000,False,0.0,0.0
ORD_023,CUST_002,TIER_2,2026-09-07T12:00:00,2026-09-10T15:33:55.440000,True,3.149,15458.62
ORD_024,CUST_003,TIER_2,2026-09-05T12:00:00,2026-09-09T14:49:29.040000,True,4.118,5480.9
ORD_025,CUST_004,TIER_2,2026-09-06T06:00:00,2026-09-02T06:44:03.900000,False,0.0,0.0
