slot_id,machine_id,machine_type,operator_id,shift_id,order_id,operation_id,sequence,setup_family,setup_time_minutes,start_time,end_time,status,machine_cost,operator_cost,overtime_cost,changeover_cost,explanation,decision_log
SLOT_038,CNC_LATHE_01,CNC_LATHE,OP_001,SH_01_MORNING,ORD_025,OPR_025_01,1.0,TURNING,29.0,2026-09-01T06:29:00,2026-09-01T06:38:37.440000,PLANNED,88.22000000000001,34.486000000000004,0.0,369.75,Selected CNC_LATHE_01 / OP_001 at score 471.43; setup 29.0 min.,"{""components"": {""changeover_cost"": 369.75, ""due_date_urgency"": 119.35626666666667, ""lateness_cost"": 0.0, ""machine_cost"": 88.22000000000001, ""operator_cost"": 34.486000000000004, ""reliability_risk"": 0.0002227777777777778, ""slack"": 119.35626666666667, ""tier_priority"": 2.0, ""utilization_pressure"": 7}, ""score"": 471.4250666666667, ""strategy"": ""MOST_ON_TIME""}"
SLOT_039,CNC_VMC_01,CNC_VMC,OP_003,SH_01_MORNING,ORD_025,OPR_025_02,2.0,MILLING,27.0,2026-09-01T07:05:37.440000,2026-09-01T07:32:53.520000,PLANNED,363.5733333333333,56.80833333333333,0.0,416.25,Selected CNC_VMC_01 / OP_003 at score 467.81; setup 27.0 min.,"{""components"": {""changeover_cost"": 416.25, ""due_date_urgency"": 118.45179999999999, ""lateness_cost"": 0.0, ""machine_cost"": 363.5733333333333, ""operator_cost"": 56.80833333333333, ""reliability_risk"": 0.0006492380952380952, ""slack"": 118.45179999999999, ""tier_priority"": 2.0, ""utilization_pressure"": 5}, ""score"": 467.80719999999997, ""strategy"": ""MOST_ON_TIME""}"
SLOT_040,RADIAL_DRILL_02,RADIAL_DRILL,OP_001,SH_01_MORNING,ORD_025,OPR_025_03,3.0,DRILLING,27.0,2026-09-01T07:59:53.520000,2026-09-01T08:26:45.540000,PLANNED,111.94583333333333,96.27341666666666,0.0,209.25,Selected RADIAL_DRILL_02 / OP_001 at score 464.22; setup 27.0 min.,"{""components"": {""changeover_cost"": 209.25, ""due_date_urgency"": 117.55401666666667, ""lateness_cost"": 0.0, ""machine_cost"": 111.94583333333333, ""operator_cost"": 96.27341666666666, ""reliability_risk"": 0.0004713508771929824, ""slack"": 117.55401666666667, ""tier_priority"": 2.0, ""utilization_pressure"": 7}, ""score"": 464.2160666666667, ""strategy"": ""MOST_ON_TIME""}"
SLOT_101,CNC_VMC_01,CNC_VMC,OP_003,SH_01_MORNING,ORD_013,OPR_013_01,1.0,MILLING,27.0,2026-09-01T07:59:53.520000,2026-09-01T09:34:54.480000,PLANNED,1266.88,197.95000000000002,0.0,416.25,Selected CNC_VMC_01 / OP_003 at score 912.67; setup 27.0 min.,"{""components"": {""changeover_cost"": 416.25, ""due_date_urgency"": 230.4182, ""lateness_cost"": 0.0, ""machine_cost"": 1266.88, ""operator_cost"": 197.95000000000002, ""reliability_risk"": 0.0022622857142857145, ""slack"": 230.4182, ""tier_priority"": 3.0, ""utilization_pressure"": 11}, ""score"": 912.6728, ""strategy"": ""MOST_ON_TIME""}"
SLOT_102,RADIAL_DRILL_02,RADIAL_DRILL,OP_001,SH_01_MORNING,ORD_013,OPR_013_02,2.0,DRILLING,27.0,2026-09-01T10:01:54.480000,2026-09-01T12:02:36.240000,PLANNED,502.90000000000003,432.494,0.0,209.25,Selected RADIAL_DRILL_02 / OP_001 at score 902.83; setup 27.0 min.,"{""components"": {""changeover_cost"": 209.25, ""due_date_urgency"": 227.9566, ""lateness_cost"": 0.0, ""machine_cost"": 502.90000000000003, ""operator_cost"": 432.494, ""reliability_risk"": 0.0021174736842105263, ""slack"": 227.9566, ""tier_priority"": 3.0, ""utilization_pressure"": 15}, ""score"": 902.8264, ""strategy"": ""MOST_ON_TIME""}"
SLOT_041,GRINDER_01,GRINDER,OP_001,SH_01_AFTERNOON,ORD_025,OPR_025_04,4.0,GRINDING,23.0,2026-09-01T14:23:00,2026-09-01T21:25:40.202400,PLANNED,5283.375499999999,1514.5676433333333,0.0,369.9166666666667,Selected GRINDER_01 / OP_001 at score 412.29; setup 23.0 min.,"{""components"": {""changeover_cost"": 369.9166666666667, ""due_date_urgency"": 104.572166, ""lateness_cost"": 0.0, ""machine_cost"": 5283.375499999999, ""operator_cost"": 1514.5676433333333, ""reliability_risk"": 0.014676043055555555, ""slack"": 104.572166, ""tier_priority"": 2.0, ""utilization_pressure"": 6}, ""score"": 412.288664, ""strategy"": ""MOST_ON_TIME""}"
SLOT_103,CNC_VMC_01,CNC_VMC,OP_003,SH_01_AFTERNOON,ORD_013,OPR_013_03,3.0,THREADING,110.0,2026-09-01T15:50:00,2026-09-01T17:17:18.720000,PLANNED,1164.16,181.9,0.0,1995.8333333333333,Selected CNC_VMC_01 / OP_003 at score 881.85; setup 110.0 min.,"{""components"": {""changeover_cost"": 1995.8333333333333, ""due_date_urgency"": 222.71146666666667, ""lateness_cost"": 0.0, ""machine_cost"": 1164.16, ""operator_cost"": 181.9, ""reliability_risk"": 0.0020788571428571427, ""slack"": 222.71146666666667, ""tier_priority"": 3.0, ""utilization_pressure"": 12}, ""score"": 881.8458666666667, ""strategy"": ""MOST_ON_TIME""}"
SLOT_106,CNC_LATHE_01,CNC_LATHE,OP_001,SH_01_NIGHT,ORD_001,OPR_001_01,1.0,TURNING,148.0,2026-09-02T00:28:00,2026-09-02T01:35:08.220000,PLANNED,615.4224999999999,240.57424999999998,120.28712499999999,2187.0,Selected CNC_LATHE_01 / OP_001 at score 902.66; setup 148.0 min.,"{""components"": {""changeover_cost"": 2187.0, ""due_date_urgency"": 226.41438333333335, ""lateness_cost"": 0.0, ""machine_cost"": 615.4224999999999, ""operator_cost"": 240.57424999999998, ""reliability_risk"": 0.0015540972222222221, ""slack"": 226.41438333333335, ""tier_priority"": 1.0, ""utilization_pressure"": 25}, ""score"": 902.6575333333334, ""strategy"": ""MOST_ON_TIME""}"
SLOT_104,GRINDER_01,GRINDER,OP_012,SH_02_MORNING,ORD_013,OPR_013_04,4.0,GRINDING,23.0,2026-09-02T06:23:00,2026-09-02T13:28:49.545600,PLANNED,5322.822,1525.8756400000002,0.0,369.9166666666667,Selected GRINDER_01 / OP_012 at score 801.08; setup 23.0 min.,"{""components"": {""changeover_cost"": 369.9166666666667, ""due_date_urgency"": 202.51957066666668, ""lateness_cost"": 0.0, ""machine_cost"": 5322.822, ""operator_cost"": 1525.8756400000002, ""reliability_risk"": 0.014785616666666668, ""slack"": 202.51957066666668, ""tier_priority"": 3.0, ""utilization_pressure"": 18}, ""score"": 801.0782826666667, ""strategy"": ""MOST_ON_TIME""}"
SLOT_028,CNC_LATHE_01,CNC_LATHE,OP_002,SH_02_MORNING,ORD_022,OPR_022_01,1.0,TURNING,29.0,2026-09-02T06:29:00,2026-09-02T07:26:56.160000,PLANNED,531.08,82.07600000000001,0.0,306.9166666666667,Selected CNC_LATHE_01 / OP_002 at score 399.20; setup 29.0 min.,"{""components"": {""changeover_cost"": 306.9166666666667, ""due_date_urgency"": 100.55106666666667, ""lateness_cost"": 0.0, ""machine_cost"": 531.08, ""operator_cost"": 82.07600000000001, ""reliability_risk"": 0.0013411111111111113, ""slack"": 100.55106666666667, ""tier_priority"": 1.0, ""utilization_pressure"": 3}, ""score"": 399.2042666666667, ""strategy"": ""MOST_ON_TIME""}"
