Scenario,Strategy,Baseline Cost (INR),Replanned Cost (INR),Incremental Cost (INR),Additional OT (hours),Additional Tardiness (days),New Late Orders,Tier-1 Impact,Operations Moved,Wasted Changeover (INR),Unscheduled Operations
GRINDER_BREAKDOWN,CHEAPEST,392549.43,395295.05,2745.62,-2.287,0.191,1,ORD_001,2,0,0
GRINDER_BREAKDOWN,MOST_ON_TIME,375490.9,375490.9,0.0,0.0,0.0,0,None,2,0,0
GRINDER_BREAKDOWN,MOST_ROBUST,389834.89,392580.51,2745.62,-2.287,0.191,1,ORD_001,2,0,0
GRINDER_OPERATOR_ABSENCE,CHEAPEST,392549.43,392452.25,-97.18,-2.287,0.0,0,ORD_001,2,0,0
GRINDER_OPERATOR_ABSENCE,MOST_ON_TIME,375490.9,375490.9,0.0,0.0,0.0,0,None,1,0,0
GRINDER_OPERATOR_ABSENCE,MOST_ROBUST,389834.89,389841.17,6.28,-2.287,0.0,0,ORD_001,2,0,0
NON_GRINDER_BREAKDOWN,CHEAPEST,392549.43,392549.43,0.0,0.0,0.0,0,None,0,0,0
NON_GRINDER_BREAKDOWN,MOST_ON_TIME,375490.9,375490.9,0.0,0.0,0.0,0,None,3,0,0
NON_GRINDER_BREAKDOWN,MOST_ROBUST,389834.89,387877.54,-34.85,-7.097,0.683,1,None,3,1922.5,0
MATERIAL_DELAY,CHEAPEST,392549.43,390809.45,-1739.98,-0.911,0.0,0,None,3,0,0
MATERIAL_DELAY,MOST_ON_TIME,375490.9,391298.98,15808.08,-6.433,7.459,1,ORD_008,5,0,0
MATERIAL_DELAY,MOST_ROBUST,389834.89,389682.35,-152.54,-1.985,0.0,0,None,3,0,0
REWORK_BATCH,CHEAPEST,392549.43,392862.71,313.29,-1.623,0.453,0,ORD_008,4,0,0
REWORK_BATCH,MOST_ON_TIME,375490.9,393423.5,17932.6,-6.051,7.536,1,ORD_008,4,0,0
REWORK_BATCH,MOST_ROBUST,389834.89,391765.85,1930.97,-1.985,0.077,0,ORD_008,4,0,0
