slot_id,machine_id,machine_type,operator_id,shift_id,order_id,operation_id,sequence,setup_family,setup_time_minutes,start_time,end_time,status,machine_cost,operator_cost,overtime_cost,changeover_cost,explanation,decision_log
SLOT_001,CNC_LATHE_01,CNC_LATHE,OP_002,SH_04_MORNING,ORD_002,OPR_002_01,1.0,TURNING,20.0,2026-09-04T06:20:00,2026-09-04T06:27:20.640000,PLANNED,67.32,10.404,0.0,211.66666666666666,Selected CNC_LATHE_01 / OP_002 at score 281.59; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 211.66666666666666, ""due_date_urgency"": 197.54426666666666, ""lateness_cost"": 0.0, ""machine_cost"": 67.32, ""operator_cost"": 10.404, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.00017, ""slack"": 197.54426666666666, ""tier_priority"": 2.0, ""utilization_pressure"": 0}, ""score"": 281.5876666666667, ""strategy"": ""CHEAPEST""}"
SLOT_002,CNC_LATHE_01,CNC_LATHE,OP_002,SH_01_MORNING,ORD_025,OPR_025_01,1.0,TURNING,29.0,2026-09-01T06:29:00,2026-09-01T06:38:37.440000,PLANNED,88.22000000000001,13.634000000000002,0.0,306.9166666666667,Selected CNC_LATHE_01 / OP_002 at score 398.55; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0021701587301587305, ""changeover_cost"": 306.9166666666667, ""due_date_urgency"": 119.35626666666667, ""lateness_cost"": 0.0, ""machine_cost"": 88.22000000000001, ""operator_cost"": 13.634000000000002, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0002227777777777778, ""slack"": 119.35626666666667, ""tier_priority"": 2.0, ""utilization_pressure"": 1}, ""score"": 398.5451666666667, ""strategy"": ""CHEAPEST""}"
SLOT_003,CNC_LATHE_01,CNC_LATHE,OP_002,SH_05_MORNING,ORD_024,OPR_024_01,1.0,TURNING,29.0,2026-09-05T06:29:00,2026-09-05T06:41:30.060000,PLANNED,114.59249999999999,17.70975,0.0,306.9166666666667,Selected CNC_LATHE_01 / OP_002 at score 425.94; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.005235555555555557, ""changeover_cost"": 306.9166666666667, ""due_date_urgency"": 5.308316666666666, ""lateness_cost"": 0.0, ""machine_cost"": 114.59249999999999, ""operator_cost"": 17.70975, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.000289375, ""slack"": 5.308316666666666, ""tier_priority"": 2.0, ""utilization_pressure"": 2}, ""score"": 425.93660416666665, ""strategy"": ""CHEAPEST""}"
SLOT_004,CNC_LATHE_01,CNC_LATHE,OP_002,SH_03_MORNING,ORD_011,OPR_011_01,1.0,TURNING,29.0,2026-09-03T06:29:00,2026-09-03T06:42:25.500000,PLANNED,123.0625,19.01875,0.0,306.9166666666667,Selected CNC_LATHE_01 / OP_002 at score 434.73; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.008529285714285715, ""changeover_cost"": 306.9166666666667, ""due_date_urgency"": 185.29291666666666, ""lateness_cost"": 0.0, ""machine_cost"": 123.0625, ""operator_cost"": 19.01875, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0003107638888888889, ""slack"": 185.29291666666666, ""tier_priority"": 2.0, ""utilization_pressure"": 3}, ""score"": 434.7338541666667, ""strategy"": ""CHEAPEST""}"
SLOT_005,CNC_LATHE_01,CNC_LATHE,OP_002,SH_02_MORNING,ORD_010,OPR_010_01,1.0,TURNING,29.0,2026-09-02T06:29:00,2026-09-02T06:50:09.960000,PLANNED,194.02166666666668,29.985166666666668,0.0,306.9166666666667,Selected CNC_LATHE_01 / OP_002 at score 508.43; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.011896349206349206, ""changeover_cost"": 306.9166666666667, ""due_date_urgency"": 161.1639, ""lateness_cost"": 0.0, ""machine_cost"": 194.02166666666668, ""operator_cost"": 29.985166666666668, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0004899537037037037, ""slack"": 161.1639, ""tier_priority"": 2.0, ""utilization_pressure"": 4}, ""score"": 508.43462500000004, ""strategy"": ""CHEAPEST""}"
SLOT_006,CNC_LATHE_01,CNC_LATHE,OP_002,SH_04_MORNING,ORD_002,OPR_002_02,2.0,TURNING,29.0,2026-09-04T06:56:20.640000,2026-09-04T07:22:27.360000,PLANNED,239.36,36.992000000000004,0.0,306.9166666666667,Selected CNC_LATHE_01 / OP_002 at score 555.52; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.01587777777777778, ""changeover_cost"": 306.9166666666667, ""due_date_urgency"": 196.62573333333333, ""lateness_cost"": 0.0, ""machine_cost"": 239.36, ""operator_cost"": 36.992000000000004, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0006044444444444446, ""slack"": 196.62573333333333, ""tier_priority"": 2.0, ""utilization_pressure"": 5}, ""score"": 555.5246666666667, ""strategy"": ""CHEAPEST""}"
SLOT_007,CNC_LATHE_01,CNC_LATHE,OP_002,SH_02_MORNING,ORD_006,OPR_006_01,1.0,TURNING,29.0,2026-09-02T07:19:09.960000,2026-09-02T07:50:22.620000,PLANNED,286.10083333333336,44.215583333333335,0.0,306.9166666666667,Selected CNC_LATHE_01 / OP_002 at score 604.07; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.020251746031746034, ""changeover_cost"": 306.9166666666667, ""due_date_urgency"": 352.1603833333333, ""lateness_cost"": 0.0, ""machine_cost"": 286.10083333333336, ""operator_cost"": 44.215583333333335, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0007224768518518519, ""slack"": 352.1603833333333, ""tier_priority"": 1.0, ""utilization_pressure"": 6}, ""score"": 604.0713958333333, ""strategy"": ""CHEAPEST""}"
SLOT_008,CNC_VMC_01,CNC_VMC,OP_007,SH_02_MORNING,ORD_006,OPR_006_02,2.0,MILLING,20.0,2026-09-02T08:10:22.620000,2026-09-02T08:26:14.820000,PLANNED,211.60000000000002,22.4825,0.0,295.0,Selected CNC_VMC_01 / OP_007 at score 512.22; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.05555555555555555, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 295.0, ""due_date_urgency"": 351.56255, ""lateness_cost"": 0.0, ""machine_cost"": 211.60000000000002, ""operator_cost"": 22.4825, ""operator_scarcity"": 0.16666666666666666, ""reliability_risk"": 0.0003778571428571429, ""slack"": 351.56255, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": 512.220625, ""strategy"": ""CHEAPEST""}"
SLOT_009,RADIAL_DRILL_01,RADIAL_DRILL,OP_007,SH_02_MORNING,ORD_006,OPR_006_03,3.0,DRILLING,20.0,2026-09-02T08:46:14.820000,2026-09-02T09:10:34.860000,PLANNED,101.39166666666665,34.473166666666664,0.0,111.66666666666666,Selected RADIAL_DRILL_01 / OP_007 at score 221.68; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 111.66666666666666, ""due_date_urgency"": 350.82365, ""lateness_cost"": 0.0, ""machine_cost"": 101.39166666666665, ""operator_cost"": 34.473166666666664, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0004269122807017543, ""slack"": 350.82365, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": 221.67662499999997, ""strategy"": ""CHEAPEST""}"
SLOT_010,CNC_VMC_02,CNC_VMC,OP_007,SH_03_MORNING,ORD_011,OPR_011_02,2.0,MILLING,20.0,2026-09-03T07:02:25.500000,2026-09-03T07:26:35.400000,PLANNED,322.20000000000005,34.23375000000001,0.0,295.0,Selected CNC_VMC_02 / OP_007 at score 625.76; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.05555555555555555, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 295.0, ""due_date_urgency"": 184.55683333333332, ""lateness_cost"": 0.0, ""machine_cost"": 322.20000000000005, ""operator_cost"": 34.23375000000001, ""operator_scarcity"": 0.16666666666666666, ""reliability_risk"": 0.000575357142857143, ""slack"": 184.55683333333332, ""tier_priority"": 2.0, ""utilization_pressure"": 0}, ""score"": 625.7584375, ""strategy"": ""CHEAPEST""}"
SLOT_011,RADIAL_DRILL_02,RADIAL_DRILL,OP_007,SH_03_MORNING,ORD_011,OPR_011_03,3.0,DRILLING,20.0,2026-09-03T07:46:35.400000,2026-09-03T08:12:54.180000,PLANNED,109.6375,37.27675,0.0,111.66666666666666,Selected RADIAL_DRILL_02 / OP_007 at score 230.62; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 111.66666666666666, ""due_date_urgency"": 183.78494999999998, ""lateness_cost"": 0.0, ""machine_cost"": 109.6375, ""operator_cost"": 37.27675, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0004616315789473684, ""slack"": 183.78494999999998, ""tier_priority"": 2.0, ""utilization_pressure"": 0}, ""score"": 230.62335416666667, ""strategy"": ""CHEAPEST""}"
