slot_id,machine_id,machine_type,operator_id,shift_id,order_id,operation_id,sequence,setup_family,setup_time_minutes,start_time,end_time,status,machine_cost,operator_cost,overtime_cost,changeover_cost,explanation,decision_log
SLOT_001,CNC_LATHE_01,CNC_LATHE,OP_002,SH_05_MORNING,ORD_024,OPR_024_01,1.0,TURNING,20.0,2026-09-05T06:20:00,2026-09-05T06:32:30.060000,PLANNED,114.59249999999999,17.70975,0.0,211.66666666666666,Selected CNC_LATHE_01 / OP_002 at score 15.83; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 211.66666666666666, ""due_date_urgency"": 5.458316666666667, ""lateness_cost"": 0.0, ""machine_cost"": 114.59249999999999, ""operator_cost"": 17.70975, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.000289375, ""slack"": 5.458316666666667, ""tier_priority"": 2.0, ""utilization_pressure"": 0}, ""score"": 15.833266666666667, ""strategy"": ""MOST_ON_TIME""}"
SLOT_002,CNC_LATHE_02,CNC_LATHE,OP_001,SH_05_MORNING,ORD_024,OPR_024_02,2.0,BORING,20.0,2026-09-05T06:52:30.060000,2026-09-05T07:25:22.440000,PLANNED,602.6716666666667,117.79491666666668,0.0,438.3333333333333,Selected CNC_LATHE_02 / OP_001 at score 12.31; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.09090909090909091, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 438.3333333333333, ""due_date_urgency"": 4.577100000000001, ""lateness_cost"": 0.0, ""machine_cost"": 602.6716666666667, ""operator_cost"": 117.79491666666668, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.000842897435897436, ""slack"": 4.577100000000001, ""tier_priority"": 2.0, ""utilization_pressure"": 0}, ""score"": 12.308400000000002, ""strategy"": ""MOST_ON_TIME""}"
SLOT_003,CNC_VMC_02,CNC_VMC,OP_003,SH_05_MORNING,ORD_024,OPR_024_03,3.0,MILLING,20.0,2026-09-05T07:45:22.440000,2026-09-05T08:16:23.700000,PLANNED,413.61333333333334,64.62708333333333,0.0,308.3333333333333,Selected CNC_VMC_02 / OP_003 at score 8.91; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.05555555555555555, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 308.3333333333333, ""due_date_urgency"": 3.72675, ""lateness_cost"": 0.0, ""machine_cost"": 413.61333333333334, ""operator_cost"": 64.62708333333333, ""operator_scarcity"": 0.16666666666666666, ""reliability_risk"": 0.0007385952380952381, ""slack"": 3.72675, ""tier_priority"": 2.0, ""utilization_pressure"": 0}, ""score"": 8.907, ""strategy"": ""MOST_ON_TIME""}"
SLOT_004,RADIAL_DRILL_02,RADIAL_DRILL,OP_001,SH_05_MORNING,ORD_024,OPR_024_04,4.0,DRILLING,20.0,2026-09-05T08:36:23.700000,2026-09-05T09:10:39.420000,PLANNED,142.75833333333333,122.77216666666665,0.0,155.0,Selected RADIAL_DRILL_02 / OP_001 at score 5.29; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 155.0, ""due_date_urgency"": 2.8223833333333332, ""lateness_cost"": 0.0, ""machine_cost"": 142.75833333333333, ""operator_cost"": 122.77216666666665, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0006010877192982456, ""slack"": 2.8223833333333332, ""tier_priority"": 2.0, ""utilization_pressure"": 0}, ""score"": 5.289533333333333, ""strategy"": ""MOST_ON_TIME""}"
SLOT_005,CNC_LATHE_02,CNC_LATHE,OP_002,SH_05_MORNING,ORD_019,OPR_019_01,1.0,TURNING,29.0,2026-09-05T07:54:22.440000,2026-09-05T09:06:59.160000,PLANNED,1331.2200000000003,102.86700000000002,0.0,572.75,Selected CNC_LATHE_02 / OP_002 at score 80.53; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.004196269841269841, ""changeover_cost"": 572.75, ""due_date_urgency"": 20.883566666666667, ""lateness_cost"": 0.0, ""machine_cost"": 1331.2200000000003, ""operator_cost"": 102.86700000000002, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.001861846153846154, ""slack"": 20.883566666666667, ""tier_priority"": 1.0, ""utilization_pressure"": 1}, ""score"": 80.53426666666667, ""strategy"": ""MOST_ON_TIME""}"
SLOT_006,CNC_LATHE_02,CNC_LATHE,OP_001,SH_05_MORNING,ORD_019,OPR_019_02,2.0,BORING,29.0,2026-09-05T09:39:39.420000,2026-09-05T11:42:41.640000,PLANNED,2255.6783333333333,440.8825833333333,0.0,635.5833333333334,Selected CNC_LATHE_02 / OP_001 at score 70.15; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.09090909090909091, ""bottleneck_pressure"": 0.012260714285714285, ""changeover_cost"": 635.5833333333334, ""due_date_urgency"": 18.288433333333334, ""lateness_cost"": 0.0, ""machine_cost"": 2255.6783333333333, ""operator_cost"": 440.8825833333333, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.003154794871794872, ""slack"": 18.288433333333334, ""tier_priority"": 1.0, ""utilization_pressure"": 2}, ""score"": 70.15373333333334, ""strategy"": ""MOST_ON_TIME""}"
SLOT_007,CNC_VMC_01,CNC_VMC,OP_003,SH_05_MORNING,ORD_019,OPR_019_03,3.0,MILLING,20.0,2026-09-05T12:20:00,2026-09-05T13:04:22.440000,PLANNED,591.6533333333334,92.44583333333334,0.0,308.3333333333333,Selected CNC_VMC_01 / OP_003 at score 64.71; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.05555555555555555, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 308.3333333333333, ""due_date_urgency"": 16.9271, ""lateness_cost"": 0.0, ""machine_cost"": 591.6533333333334, ""operator_cost"": 92.44583333333334, ""operator_scarcity"": 0.16666666666666666, ""reliability_risk"": 0.0010565238095238095, ""slack"": 16.9271, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": 64.7084, ""strategy"": ""MOST_ON_TIME""}"
SLOT_008,RADIAL_DRILL_02,RADIAL_DRILL,OP_001,SH_05_AFTERNOON,ORD_019,OPR_019_04,4.0,DRILLING,27.0,2026-09-05T14:27:00,2026-09-05T15:55:44.880000,PLANNED,369.78333333333336,318.01366666666667,0.0,209.25,Selected RADIAL_DRILL_02 / OP_001 at score 53.28; setup 27.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0043065079365079365, ""changeover_cost"": 209.25, ""due_date_urgency"": 14.070866666666667, ""lateness_cost"": 0.0, ""machine_cost"": 369.78333333333336, ""operator_cost"": 318.01366666666667, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.001556982456140351, ""slack"": 14.070866666666667, ""tier_priority"": 1.0, ""utilization_pressure"": 1}, ""score"": 53.28346666666667, ""strategy"": ""MOST_ON_TIME""}"
SLOT_009,GRINDER_01,GRINDER,OP_001,SH_05_NIGHT,ORD_019,OPR_019_05,5.0,GRINDING,20.0,2026-09-05T22:20:00,2026-09-06T05:31:58.853400,PLANNED,5399.761125,1547.9315225,1547.9315225,321.66666666666663,Selected GRINDER_01 / OP_001 at score -1.13; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.3333333333333333, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 321.66666666666663, ""due_date_urgency"": 0.4669851666666667, ""lateness_cost"": 0.0, ""machine_cost"": 5399.761125, ""operator_cost"": 1547.9315225, ""operator_scarcity"": 0.3333333333333333, ""reliability_risk"": 0.014999336458333332, ""slack"": 0.4669851666666667, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -1.1320593333333333, ""strategy"": ""MOST_ON_TIME""}"
SLOT_010,CNC_VMC_01,CNC_VMC,OP_003,SH_04_MORNING,ORD_008,OPR_008_01,1.0,MILLING,27.0,2026-09-04T06:27:00,2026-09-04T07:21:40.620000,PLANNED,729.0266666666666,113.91041666666666,0.0,416.25,Selected CNC_VMC_01 / OP_003 at score 105.55; setup 27.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.05555555555555555, ""bottleneck_pressure"": 0.005109047619047619, ""changeover_cost"": 416.25, ""due_date_urgency"": 28.638716666666667, ""lateness_cost"": 0.0, ""machine_cost"": 729.0266666666666, ""operator_cost"": 113.91041666666666, ""operator_scarcity"": 0.16666666666666666, ""reliability_risk"": 0.0013018333333333332, ""slack"": 28.638716666666667, ""tier_priority"": 3.0, ""utilization_pressure"": 1}, ""score"": 105.55486666666667, ""strategy"": ""MOST_ON_TIME""}"
