slot_id,machine_id,machine_type,operator_id,shift_id,order_id,operation_id,sequence,setup_family,setup_time_minutes,start_time,end_time,status,machine_cost,operator_cost,overtime_cost,changeover_cost,explanation,decision_log
SLOT_001,CNC_LATHE_01,CNC_LATHE,OP_006,SH_01_NIGHT,ORD_006,OPR_006_01,1.0,TURNING,20.0,2026-09-02T00:20:00,2026-09-02T00:51:12.660000,PLANNED,286.10083333333336,65.02291666666666,32.51145833333333,225.0,Selected CNC_LATHE_01 / OP_006 at score -605.20; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 225.0, ""due_date_urgency"": 359.1464833333334, ""lateness_cost"": 0.0, ""machine_cost"": 286.10083333333336, ""operator_cost"": 65.02291666666666, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0007224768518518519, ""slack"": 359.1464833333334, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -605.1991676683502, ""strategy"": ""MOST_ROBUST""}"
SLOT_002,CNC_VMC_01,CNC_VMC,OP_010,SH_01_NIGHT,ORD_006,OPR_006_02,2.0,MILLING,20.0,2026-09-02T01:11:12.660000,2026-09-02T01:27:04.860000,PLANNED,211.60000000000002,22.4825,11.24125,295.0,Selected CNC_VMC_01 / OP_010 at score -568.65; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.05555555555555555, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 295.0, ""due_date_urgency"": 358.54864999999995, ""lateness_cost"": 0.0, ""machine_cost"": 211.60000000000002, ""operator_cost"": 22.4825, ""operator_scarcity"": 0.16666666666666666, ""reliability_risk"": 0.0003778571428571429, ""slack"": 358.54864999999995, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -568.651344126984, ""strategy"": ""MOST_ROBUST""}"
SLOT_003,RADIAL_DRILL_01,RADIAL_DRILL,OP_006,SH_01_NIGHT,ORD_006,OPR_006_03,3.0,DRILLING,20.0,2026-09-02T01:47:04.860000,2026-09-02T02:11:24.900000,PLANNED,101.39166666666665,50.695833333333326,25.347916666666663,125.0,Selected RADIAL_DRILL_01 / OP_006 at score -652.53; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 125.0, ""due_date_urgency"": 357.80975, ""lateness_cost"": 0.0, ""machine_cost"": 101.39166666666665, ""operator_cost"": 50.695833333333326, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0004269122807017543, ""slack"": 357.80975, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -652.5268832599681, ""strategy"": ""MOST_ROBUST""}"
SLOT_004,GRINDER_01,GRINDER,OP_001,SH_02_MORNING,ORD_006,OPR_006_04,4.0,GRINDING,20.0,2026-09-02T06:20:00,2026-09-02T13:30:36.994800,PLANNED,5382.70725,1543.0427450000002,0.0,321.66666666666663,Selected GRINDER_01 / OP_001 at score -529.09; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.3333333333333333, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 321.66666666666663, ""due_date_urgency"": 346.4897236666667, ""lateness_cost"": 0.0, ""machine_cost"": 5382.70725, ""operator_cost"": 1543.0427450000002, ""operator_scarcity"": 0.3333333333333333, ""reliability_risk"": 0.014951964583333335, ""slack"": 346.4897236666667, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -529.0863061416667, ""strategy"": ""MOST_ROBUST""}"
SLOT_005,CMM_01,CMM_INSPECTION,OP_002,SH_02_AFTERNOON,ORD_006,OPR_006_05,5.0,INSPECTION,20.0,2026-09-02T14:20:00,2026-09-02T14:49:05.700000,PLANNED,193.96666666666667,41.21791666666667,0.0,161.66666666666666,Selected CMM_01 / OP_002 at score -608.63; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.1, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 161.66666666666666, ""due_date_urgency"": 345.18175, ""lateness_cost"": 0.0, ""machine_cost"": 193.96666666666667, ""operator_cost"": 41.21791666666667, ""operator_scarcity"": 0.1, ""reliability_risk"": 0.00040409722222222225, ""slack"": 345.18175, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -608.6285502777778, ""strategy"": ""MOST_ROBUST""}"
SLOT_006,CNC_LATHE_01,CNC_LATHE,OP_006,SH_02_NIGHT,ORD_005,OPR_005_01,1.0,TURNING,29.0,2026-09-03T00:29:00,2026-09-03T01:14:58.140000,PLANNED,421.3825,95.76875,47.884375,326.25,Selected CNC_LATHE_01 / OP_006 at score -481.76; setup 29.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.004064365079365079, ""changeover_cost"": 326.25, ""due_date_urgency"": 322.75051666666667, ""lateness_cost"": 0.0, ""machine_cost"": 421.3825, ""operator_cost"": 95.76875, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.0010640972222222224, ""slack"": 322.75051666666667, ""tier_priority"": 1.0, ""utilization_pressure"": 1}, ""score"": -481.7605460281385, ""strategy"": ""MOST_ROBUST""}"
SLOT_007,CNC_VMC_02,CNC_VMC,OP_010,SH_02_NIGHT,ORD_005,OPR_005_02,2.0,MILLING,20.0,2026-09-03T01:34:58.140000,2026-09-03T03:13:52.320000,PLANNED,1318.7066666666667,140.11258333333333,70.05629166666667,295.0,Selected CNC_VMC_02 / OP_010 at score -493.08; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.05555555555555555, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 295.0, ""due_date_urgency"": 320.7688, ""lateness_cost"": 0.0, ""machine_cost"": 1318.7066666666667, ""operator_cost"": 140.11258333333333, ""operator_scarcity"": 0.16666666666666666, ""reliability_risk"": 0.0023548333333333333, ""slack"": 320.7688, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -493.0837362222222, ""strategy"": ""MOST_ROBUST""}"
SLOT_008,RADIAL_DRILL_02,RADIAL_DRILL,OP_007,SH_03_MORNING,ORD_005,OPR_005_03,3.0,DRILLING,20.0,2026-09-03T06:20:00,2026-09-03T07:39:24.060000,PLANNED,330.83750000000003,112.48475,0.0,111.66666666666666,Selected RADIAL_DRILL_02 / OP_007 at score -576.26; setup 20.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.045454545454545456, ""bottleneck_pressure"": 0.0, ""changeover_cost"": 111.66666666666666, ""due_date_urgency"": 316.3433166666666, ""lateness_cost"": 0.0, ""machine_cost"": 330.83750000000003, ""operator_cost"": 112.48475, ""operator_scarcity"": 0.09090909090909091, ""reliability_risk"": 0.001393, ""slack"": 316.3433166666666, ""tier_priority"": 1.0, ""utilization_pressure"": 0}, ""score"": -576.2568189090908, ""strategy"": ""MOST_ROBUST""}"
SLOT_009,GRINDER_01,GRINDER,OP_001,SH_03_AFTERNOON,ORD_005,OPR_005_04,4.0,GRINDING,23.0,2026-09-03T14:23:00,2026-09-03T21:25:38.172000,PLANNED,5282.952499999999,1514.4463833333332,0.0,369.9166666666667,Selected GRINDER_01 / OP_001 at score -416.95; setup 23.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.3333333333333333, ""bottleneck_pressure"": 0.035763220634920635, ""changeover_cost"": 369.9166666666667, ""due_date_urgency"": 302.57273, ""lateness_cost"": 0.0, ""machine_cost"": 5282.952499999999, ""operator_cost"": 1514.4463833333332, ""operator_scarcity"": 0.3333333333333333, ""reliability_risk"": 0.014674868055555554, ""slack"": 302.57273, ""tier_priority"": 1.0, ""utilization_pressure"": 1}, ""score"": -416.94961109126973, ""strategy"": ""MOST_ROBUST""}"
SLOT_010,CMM_01,CMM_INSPECTION,OP_010,SH_03_NIGHT,ORD_005,OPR_005_05,5.0,INSPECTION,18.0,2026-09-03T22:18:00,2026-09-03T23:08:08.880000,PLANNED,334.32,71.04299999999999,35.521499999999996,145.5,Selected CMM_01 / OP_010 at score -528.06; setup 18.0 min.,"{""components"": {""alternative_resource_scarcity"": 0.1, ""bottleneck_pressure"": 0.003896428571428571, ""changeover_cost"": 145.5, ""due_date_urgency"": 300.86420000000004, ""lateness_cost"": 0.0, ""machine_cost"": 334.32, ""operator_cost"": 71.04299999999999, ""operator_scarcity"": 0.1, ""reliability_risk"": 0.0006965000000000001, ""slack"": 300.86420000000004, ""tier_priority"": 1.0, ""utilization_pressure"": 1}, ""score"": -528.056131857143, ""strategy"": ""MOST_ROBUST""}"
